-2.646362, 2.554784, 1.044596
-4.36924, 6.168416, 2.362064
-3.702353, 4.865644, 6.473148
-2.378848, 7.519882, 0.2811394
3.801388, 7.638741, 5.960472
-0.9215574, 6.386099, 0.7934685
-5.071526, 1.518362, 0.7703485
1.505221, 2.742301, 2.901606
-5.584565, 4.434484, 1.182811
-4.256001, 5.061638, 3.092497
-4.810867, 6.223474, 7.260531
4.908783, 5.117218, 1.843913
-5.67063, 5.132249, 3.605793
-2.631124, 9.554045, 3.403948
5.608232, 0.9587264, 0.07129955
0.6887636, 9.590058, 1.960876
-1.259463, 5.633224, 7.445702
-0.04266167, 5.05584, 3.733243
-3.253025, 6.221587, 3.73307
3.469153, 5.410009, 6.904546
1.558473, 3.104237, 5.007506
-4.31985, 9.733706, 6.49863
1.753318, 7.843726, 7.035419
-1.519633, 3.898377, 7.518614
4.044603, 8.522642, 3.498988
